# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 999, i.e. number of multipoles equal to 998
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:lens[1]-lens[1]        3:lens[1]-lens[2]        4:lens[2]-lens[2]    
   90       6.753746093445e-14       1.592865055299e-13       6.593121736244e-13 
   91       6.524480173528e-14       1.538520194141e-13       6.369723850259e-13 
   92       6.305040971429e-14       1.486512931428e-13       6.155669975392e-13 
   93       6.094260436530e-14       1.436565516437e-13       5.949896596809e-13 
   94       5.891913950567e-14       1.388624207233e-13       5.752206804073e-13 
   95       5.697972488400e-14       1.342681687617e-13       5.562581406782e-13 
   96       5.512336312420e-14       1.298713829639e-13       5.380933556499e-13 
   97       5.334832363960e-14       1.256679073934e-13       5.207106241159e-13 
   98       5.165211654692e-14       1.216517810057e-13       5.040869779485e-13 
   99       5.003146658038e-14       1.178151756816e-13       4.881919315402e-13 
  100       4.848228700571e-14       1.141483342611e-13       4.729872312449e-13 
  101       4.699965353421e-14       1.106395085763e-13       4.584266048191e-13 
  102       4.557777823677e-14       1.072748974849e-13       4.444555108636e-13 
  103       4.420998345794e-14       1.040385849042e-13       4.310108882643e-13 
  104       4.289010559378e-14       1.009158818610e-13       4.180344883337e-13 
  105       4.161697857635e-14       9.790400027096e-14       4.055154619972e-13 
  106       4.039051023044e-14       9.500271222067e-14       3.934530851834e-13 
  107       3.921029624572e-14       9.221105044384e-14       3.818435897743e-13 
  108       3.807560980356e-14       8.952728376174e-14       3.706800623074e-13 
  109       3.698539120389e-14       8.694889252340e-14       3.599523426772e-13 
  110       3.593823749199e-14       8.447254404587e-14       3.496469228370e-13 
  111       3.493239208538e-14       8.209406805440e-14       3.397468455007e-13 
  112       3.396573440061e-14       7.980843212269e-14       3.302316028447e-13 
  113       3.303576948011e-14       7.760971711317e-14       3.210770352091e-13 
  114       3.213961761903e-14       7.549109261715e-14       3.122552298001e-13 
  115       3.127400399206e-14       7.344479239512e-14       3.037344193916e-13 
  116       3.043592968206e-14       7.146370546604e-14       2.954854989537e-13 
  117       2.962479949875e-14       6.954642134295e-14       2.875026909543e-13 
  118       2.884053458759e-14       6.769275493856e-14       2.797852140409e-13 
  119       2.808290987496e-14       6.590217563928e-14       2.723308476075e-13 
  120       2.735154971977e-14       6.417379703064e-14       2.651358890108e-13 
  121       2.664592356508e-14       6.250636662264e-14       2.581951107855e-13 
